Party_Code,Party_Name,Item_Description,Make,Bill_No,Date,Packing,Batch_No,Qty,Free,Rate,Amount
AAF01,"AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",FLU-Z 150 CAPSULE,DERMAS,ILS26G0457,05-01-2026,20X2 CAP,CS040,20.0,2.0,135.0,2700.0
AAF01,"AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",KANACON-T 15GM,DERMAS,ILS26G0234,17-04-2026,15GM TUBE,E567,100.0,10.0,18.0,1800.0
AAF01,"AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",KANACON-O OINTMENT,DERMAS,ILS26G0032,04-04-2026,15 GM,5062B,100.0,10.0,15.0,1500.0
AAF01,"AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",MAXWHITE CREAM 20GM,DERMAS,ILS26G0227,16-04-2026,20 GM TUBE,C-634,88.0,8.0,44.0,3872.0
AAF01,"AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",RAYNON-PRO 70SPF SUNSCREEN,DERMAS,ILS26G0032,04-04-2026,50 GM,AL0216,20.0,0.0,80.0,1600.0
AAF01,"AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ACLON-SP TAB.,ISCON,ILS26G0234,17-04-2026,10X10 TAB,GAB26006,10.0,1.0,156.0,1560.0
AAF01,"AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",AM-PM SOFTGEL CAP.,ISCON,ILS26G0457,05-01-2026,10X10 CAP,ALD5770D,5.0,0.0,130.0,650.0
AAF01,"AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",DROZIN-25 TABLET,ISCON,ILS26G0457,05-01-2026,10X10 TAB,TG25-1951G,0.0,0.2,70.0,0.0
AAF01,"AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",FRESHBANE MOUTHWASH,ISCON,ILS26G0457,05-01-2026,150ML BOT,GE66A,0.0,1.0,46.0,0.0
AAF01,"AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",GODOXI-LB TABLET,ISCON,ILS26G0032,04-04-2026,10X10 BOX,GT25502A,10.0,1.0,210.0,2100.0
AAF01,"AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",GO-MIGRAIN TABLET,ISCON,ILS26G0457,05-01-2026,10X10 BOX,GENT12333A,0.0,0.2,290.0,0.0
AAF01,"AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON GUMMIES -  AMLA,ISCON,ILS26G0457,05-01-2026,10 NOS,GP-259,0.0,3.0,40.0,0.0
AAF01,"AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON GUMMIES -  COLLAGEN,ISCON,ILS26G0457,05-01-2026,10 NOS,GP-261,0.0,3.0,40.0,0.0
AAF01,"AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON GUMMIES -  EYE PROTECTIVE,ISCON,ILS26G0457,05-01-2026,10 NOS,GP-263,0.0,3.0,40.0,0.0
