Party_Name,Make,Product_Name,Batch_No,Packing,Item_Code,Billed_Qty,Free_Qty,Rate,Total_Amount,Date
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",DERMAS,FLU-Z 150 CAPSULE,ILS26G0457,20X2 CAP,CS040,20.0,2.0,135.0,2700.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",DERMAS,KANACON-T 15GM,ILS26G0234,15GM TUBE,E567,100.0,10.0,18.0,1800.0,2026-04-17
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",DERMAS,KANACON-O OINTMENT,ILS26G0032,15 GM,5062B,100.0,10.0,15.0,1500.0,2026-04-04
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",DERMAS,MAXWHITE CREAM 20GM,ILS26G0227,20 GM TUBE,C-634,88.0,8.0,44.0,3872.0,2026-04-16
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",DERMAS,RAYNON-PRO 70SPF SUNSCREEN,ILS26G0032,50 GM,AL0216,20.0,0.0,80.0,1600.0,2026-04-04
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,ACLON-SP TAB.,ILS26G0234,10X10 TAB,GAB26006,10.0,1.0,156.0,1560.0,2026-04-17
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,AM-PM SOFTGEL CAP.,ILS26G0457,10X10 CAP,ALD5770D,5.0,0.0,130.0,650.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,DROZIN-25 TABLET,ILS26G0457,10X10 TAB,TG25-1951G,0.0,0.2,70.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,FRESHBANE MOUTHWASH,ILS26G0457,150ML BOT,GE66A,0.0,1.0,46.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,GODOXI-LB TABLET,ILS26G0032,10X10 BOX,GT25502A,10.0,1.0,210.0,2100.0,2026-04-04
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,GO-MIGRAIN TABLET,ILS26G0457,10X10 BOX,GENT12333A,0.0,0.2,290.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,ISCON GUMMIES -  AMLA,ILS26G0457,10 NOS,GP-259,0.0,3.0,40.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,ISCON GUMMIES -  COLLAGEN,ILS26G0457,10 NOS,GP-261,0.0,3.0,40.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,ISCON GUMMIES -  EYE PROTECTIVE,ILS26G0457,10 NOS,GP-263,0.0,3.0,40.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,ISCON GUMMIES -  TURMERIC AND GINGER,ILS26G0457,10 NOS,GP-254,0.0,3.0,40.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,ISCON GUMMIES -  IMMUNITY BOOSTER,ILS26G0457,10 NOS,GP-264,0.0,3.0,40.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,ISCON GUMMIES -  WEIGHT LOSS,ILS26G0457,10 NOS,GP-265,0.0,3.0,40.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,ISCON GUMMIES - FEMALE VITALITY,ILS26G0457,10 NOS,GP-256,0.0,3.0,39.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,ISCON GUMMIES - MALE VITALITY,ILS26G0457,10 NOS,GP-255,0.0,3.0,39.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,ISPO-100 CV DRY SYRUP,ILS26G0457,30 ML,CD0625007G,0.0,1.0,45.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,IZPO-200 TABLET,ILS26G0457,10X10 BOX,CT26146C,0.0,0.2,590.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,LULOZ ULTRA CREAM,ILS26G0457,15GM TUBE,EX-25250,0.0,2.0,21.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,PIROSIP SYRUP,ILS26G0457,200ML BOT,OML26151,0.0,1.0,72.0,0.0,2026-05-01
"[AAF01] - AAFIYAT MEDICAL AND GENERAL STORES, MALEGAON",ISCON,RAYNON-S CREAM,ILS26G0457,50GM TUBE,BCC2507016,0.0,1.0,190.0,0.0,2026-05-01
